ATR1,ATR3,CLASS
-1.256932295,2.926295061,POSITIVE
0.362682756,-0.523556959,NEGATIVE
0.120832788,2.505481838,POSITIVE
-0.735202496,-0.753840757,NEGATIVE
-1.441791331,-0.635088672,POSITIVE
0.393208594,-0.517292823,NEGATIVE
-0.012629144,-0.722658028,NEGATIVE
0.200959621,-0.394577841,NEGATIVE
1.116749974,-0.447299415,NEGATIVE
2.768102697,-0.280860891,NEGATIVE
2.59801814,-0.000639579,NEGATIVE
1.238011279,0.434056323,NEGATIVE
-0.135606765,-0.22030758,NEGATIVE
0.357256675,-0.32338992,NEGATIVE
0.849629323,-0.566713029,NEGATIVE
0.439312652,-0.266837128,NEGATIVE
-0.296016146,-0.710665876,NEGATIVE
0.856920659,-0.534514493,NEGATIVE
-0.381539881,-0.434808766,NEGATIVE
-1.348481943,1.79522667,POSITIVE
0.704430035,-0.889036983,NEGATIVE
-1.064738707,-0.774633424,NEGATIVE
-1.093542766,0.139344102,POSITIVE
0.11843166,2.902125655,POSITIVE
1.651029583,-0.29643031,NEGATIVE
0.747090675,0.891824184,NEGATIVE
1.087854298,-0.264457509,NEGATIVE
0.057872849,-0.53098739,NEGATIVE
-1.099428731,-0.164212527,POSITIVE
-0.922917219,-0.178606244,NEGATIVE
-0.195496806,1.680158448,POSITIVE
0.218546779,-0.774382608,POSITIVE
0.586242223,-0.137293673,NEGATIVE
-0.036423583,-0.526416264,NEGATIVE
-1.099285255,1.357831359,POSITIVE
-0.775287555,-0.882145807,POSITIVE
-1.213568036,0.852599659,NEGATIVE
-1.079049984,-0.718124524,NEGATIVE
-0.952625349,-0.880612692,NEGATIVE
0.676037457,-0.618635126,NEGATIVE
-1.188577321,-0.050332547,POSITIVE
-0.238769378,-0.854991813,NEGATIVE
-0.581310027,0.389407897,POSITIVE
