ATR1,ATR3,CLASS
410.6675,1560.5475,POSITIVE
1581.8412,185.0975,NEGATIVE
1406.955,1392.77,POSITIVE
787.94,93.28375,NEGATIVE
276.9925,140.63,POSITIVE
1603.915,187.595,NEGATIVE
1310.4462,105.71625,NEGATIVE
1464.8962,236.52125,NEGATIVE
2127.1212,215.50125,NEGATIVE
3321.245,281.86,NEGATIVE
3198.2537,393.58375,NEGATIVE
2214.8075,566.89625,NEGATIVE
1221.5188,306.0025,NEGATIVE
1577.9175,264.90375,NEGATIVE
1933.9613,167.89125,NEGATIVE
1637.2537,287.45125,NEGATIVE
1105.5238,110.4975,NEGATIVE
1939.2338,180.72875,NEGATIVE
1043.68,220.48125,NEGATIVE
344.46625,1109.5925,POSITIVE
1828.965,39.38125,NEGATIVE
549.64625,84.99375,NEGATIVE
528.8175,449.395,POSITIVE
1405.2187,1550.9112,POSITIVE
2513.4687,275.6525,NEGATIVE
1859.8137,749.4075,NEGATIVE
2106.2262,288.4,NEGATIVE
1361.4275,182.135,NEGATIVE
524.56125,328.3675,POSITIVE
652.2,322.62875,NEGATIVE
1178.2112,1063.715,POSITIVE
1477.6138,85.09375,POSITIVE
1743.5012,339.1,NEGATIVE
1293.24,183.9575,NEGATIVE
524.665,935.20375,POSITIVE
758.95375,42.12875,POSITIVE
442.025,733.76875,NEGATIVE
539.2975,107.52375,NEGATIVE
630.7175,42.74,NEGATIVE
1808.4338,147.19,NEGATIVE
460.09625,373.77125,POSITIVE
1146.92,52.955,NEGATIVE
899.2225,549.095,POSITIVE
