ATR1,ATR2,ATR3,ATR4,ATR5,CLASS
-1.256932295,0.715974445,-7.14624E-11,-1.245318471,-0.107795492,POSITIVE
0.362682756,0.456384561,-0.410892005,0.164865288,1.639490955,NEGATIVE
0.120832788,1.058773212,-7.14624E-11,1.486292265,1.891202721,POSITIVE
-0.735202496,-1.080071465,-0.975161821,-1.110799218,-0.792841151,NEGATIVE
-1.441791331,-1.417420189,-0.684180788,-1.757548816,-1.839678237,POSITIVE
0.393208594,0.124705837,-0.395542845,0.505325523,0.396540714,NEGATIVE
-0.012629144,-0.234508233,-0.898754044,-0.671988417,1.101460315,NEGATIVE
0.200959621,-0.227714008,-0.094851434,-0.695587556,-0.929295228,NEGATIVE
1.116749974,0.962603164,-0.224036349,1.359243939,0.494010572,NEGATIVE
2.768102697,6.63849E-09,0.183791886,0.698156011,-3.46531E-10,NEGATIVE
2.59801814,1.707067684,0.870424769,0.75844412,-3.46531E-10,NEGATIVE
1.238011279,1.498157501,1.935570376,1.745196147,-3.46531E-10,NEGATIVE
-0.135606765,-0.104676631,0.332167092,-1.576642885,0.263551073,NEGATIVE
0.357256675,0.214383083,0.079582004,-1.426203583,-2.006753458,NEGATIVE
0.849629323,1.211879513,-0.516638339,0.807681713,-3.46531E-10,NEGATIVE
0.439312652,-0.789410631,0.218154644,-0.747239289,1.33408043,NEGATIVE
-0.296016146,-0.919063009,-0.869369393,-1.332847556,-1.015496357,NEGATIVE
0.856920659,-2.79468E-07,-0.43774151,-0.159508376,1.371853959,NEGATIVE
-0.381539881,-0.861768307,-0.193430218,-1.265629551,-0.801725753,NEGATIVE
-1.348481943,-0.730242223,-7.14624E-11,0.233831412,-1.12645144,POSITIVE
0.704430035,-0.581901655,-1.306436317,0.073673669,-3.46531E-10,NEGATIVE
-1.064738707,-1.240477077,-1.026110581,-0.253010088,-0.810796615,NEGATIVE
-1.093542766,-0.424713932,1.213430079,1.030791471,1.095593125,POSITIVE
0.11843166,1.111856146,-7.14624E-11,0.91009044,-3.46531E-10,POSITIVE
1.651029583,0.810287079,0.145641774,-1.389722722,-3.46531E-10,NEGATIVE
0.747090675,1.876980322,3.057249749,1.845877417,-3.46531E-10,NEGATIVE
1.087854298,0.721603712,0.22398548,0.066202706,-3.46531E-10,NEGATIVE
0.057872849,2.826860155,-0.429098965,-0.229972783,-3.46531E-10,NEGATIVE
-1.099428731,1.9534683,0.469618121,0.040064649,-1.276539749,POSITIVE
-0.922917219,-0.35255992,0.434348857,-0.280334272,1.875966652,NEGATIVE
-0.195496806,-1.007705642,-7.14624E-11,0.694160415,-3.46531E-10,POSITIVE
0.218546779,0.117561311,-1.025496,2.414837278,0.781633266,POSITIVE
0.586242223,-0.140163012,0.535578021,0.747851428,1.040888562,NEGATIVE
-0.036423583,-0.740523172,-0.417898227,0.339299286,0.253064634,NEGATIVE
-1.099285255,0.041782083,-7.14624E-11,1.338412717,0.803816833,POSITIVE
-0.775287555,-0.564842775,-1.289550705,-0.390193055,-3.46531E-10,POSITIVE
-1.213568036,-0.856969988,2.961136971,-0.940985302,-0.651041412,NEGATIVE
-1.079049984,-0.860880333,-0.887645493,-0.6757343,0.272417049,NEGATIVE
-0.952625349,-1.40813312,-1.285794079,-0.515805399,-1.886280489,NEGATIVE
0.676037457,-0.828831797,-0.643864278,0.124159919,-3.46531E-10,NEGATIVE
-1.188577321,-0.399337422,0.748660919,0.136750322,1.2948727,POSITIVE
-0.238769378,-0.904912448,-1.223014635,-0.726470368,-0.686915088,NEGATIVE
-0.581310027,-0.733500844,1.826167285,-0.129666128,-1.978833084,POSITIVE
